,phrase before,chandler's phrase
2374," no-no-no, the kiss was good.", okay!
2375," no, but that’s bad!"," ooh! yes! okay! here’s what we do, we-we forget it happened."
2376, can you really do that?," i have to; he’s my best friend, and you’re seeing him."
2377," chandler, i like joey a lot, but with you…"," (interrupting) oh-no-no-no! don’t! don’t! see-see, you’re getting me confused, i’m starting to urn."
2378," i’m sorry. if you wanna pretend that nothing happened, i can try.", i-i think we have too.
2379, okay. bye., bye. (kathy leaves and chandler wonders over to and leans up against the door.) are you still out there?
2380, aww man! i can’t believe i locked myself out again! (he knocks on the door.), hang on buddy! (he goes over and unlocks the door and opens it to reveal a fully furnished apartment.)
2381, (rushing in) oh my god! what happened here? did you do all this?," i sure did.  well, i just thought it’d make me feel good to do something nice for my friend."
2382," well, you’re amazing.", oh no-no-no. this is amazing. (he goes over and presses a button on a remote control that opens the entertainment center doors revealing the tv.)
2383," (very excited) a tv as if it appears from nowhere! that’s the dream! man, how did you afford this stuff?","well, y’know i’m 29. i mean who needs a savings account."
2384," oh, you are the best friends anyone has ever had."," oh, i don’t know."
2385," oh-no-no-no, you are! you do this, you give me the great advice, and hey listen, i was thinking about what you said yesterday about focusing on one woman, i’m gonna do that.", you mean with casey.
2386," no-no-no, i think i’m gonna see how things go with kathy. she’s pretty cool.", or casey.
2387," no-no, kathy.", could be casey.
2388," no. no, kathy.", consider casey.
2389, y’know what i think? i think somebody’s got a little crush on casey. how ‘bout i fix you two up? what do you think?, that all the pieces of my life are falling right into place!
2390, yeah! joey has the best boyfriend ever!, i kissed kathy.
2391, does joey know?," no. is there anyway, anyway you think he’ll understand this?"
2392," no the-the sad thing is, if you had told him how you felt before you kissed her, knowing joey, he probably just would’ve just stepped aside."," oh, don’t say that! don’t say that. that’s not true. is it?"
2393, he loves you., then why didn’t you tell me to do that?!!
2394, i remember you did., god!! (sits down in disgust.) what am i gonna do?!
2395," well, chandler, you’re gonna have to tell him.", why?! why do i have to tell him?!
2396, because you do.," yeah, i know."
2397, hey! samboucha margarita?, is that a real thing?
2398," well, we only had samboucha, so it is now."," listen ah, joe, i-i need to, i need to talk to you about something."
2399, what’s up?," it’s-it’s about kathy. umm, uh, i like her. i like her a lot actually."
2400," you do?  well, you’re timing couldn’t be better. she’s not my girlfriend anymore.  yeah, she broke up with me."," oh uh, when?"
2401," just now, after acting class. at first i thought she was doing some kind of scene, that’s why i let people watch."," oh man, i am so sorry. are, are you okay?"
2402," well, i’ve been better. but, i’m all right. so you like her huh?"," yes, but i-i uh, don’t have too."
2403," no-no-no, no it’s uh, it’s okay.", yeah?
2404, yeah. you know why? ‘cause you came to me first.," well, i thought that would be the best thing to do."
2405," but hey, listen just so you know, you might have you’re work cut out for you. ‘cause when i talked to her, i kinda got the feeling that she’s into some other guy. so…"," see uh, that’s-that’s actually what i wanted to talk to you about. i-i think i know who the other guy is.  it’s me. i’m the other guy.  yeah, i mean when you were late last night, kathy and i got to talking, and one thing to another and…"
2406, and what?! did you sleep with her?!, no! no! no! i just kissed her.
2407, what?!! that’s even worse!!, how is that worse?!
2408, i don’t know! but it’s the same!," look, i’m sorry! but there’s nothing i can do, i think i’m in love with her!"
2409, who cares?! you went behind my back! i would never do that to you!," you’re right, i have no excuses! i was totally over the line."
2410," over the line?! you-you’re-you’re so far past the line, that you-you can’t even see the line! the line is a dot to you!", yes. yes! right! and i feel horrible. you have to believe me!
2411," is that why you bought all this stuff?! (chandler makes a face like ""well, kinda."") well, y’know what i will not watch your tv, i will not listen to your stereo, and there’s a cinnamon raisin loaf in the new bread maker that i’m not gonna eat! you know why?!", probably because…
2412, (answering phone) hello.," (on phone) hey, it’s me. i know you can’t stand to be in the same room as me, so i just thought i’d try and apologize over the phone. all i… (joey hangs up the phone in disgust.)  look i never should have kissed your girlfriend, but i’m… (joey hangs up the phone again.)"
2413," what is the name of your roommate who is very, very sorry and would do anything… (joey realizes it’s chandler and hangs up the phone in anger.)"," (entering) aww, turkey! aww, giving thanks! aww!"
2414, so are things with you and joey any better?," they couldn’t be worse. i spent eight hours calling him last night, just trying to get him to talk to me."
2415," i know, but all that work you’re doing to get it ready, i just… (goes into her bedroom.)"," hey, by any chance did either of pick uh rachel for your secret santa, ‘cause i wanna trade for her."
2416, i picked her! oh thank god you want her! ooh!, wow! why do you want to get rid of her so badly?
2417," because she exchanges every gift she ever gets, it’s like impossible to get her something she likes. come on, let’s trade!"," oh that’s not true! that’s not true! i got her that backpack and she loved it! i remember how much she was crying the day when that big dog ran off with it… (notices the look on monica and phoebe’s faces.) oh, there was no big dog. all right this sucks! i already got her this briefcase, and i had r.g. put on it… (phoebe looks confused.) her initials…"
2418," well, maybe you could give to somebody else. ooh, like ross geller."," op, y'know what though, it’s kind’ve a girlie briefcase."
2419, who cares? he works in a museum!," hey, what time is it? the big game is about to start!"
2420, (standing in her doorway) people are trying to sleep in here!," monica got ice in her eye, and it hurts."
2421," oh, y’know what, i can’t, it really kills.", well maybe you should put some ice on it.
2422," no, my eye doctor is richard! i can’t go to him when i don’t have a boyfriend!", he’s really picky about his patients.
2423," okay, get out of my kitchen!"," (entering) all right! okay! i think i am making some progress with joey, when i went into the apartment he went straight into his bedroom but he only slammed the door once! (ross is pleased.) i mean yeah, he gave me the finger while doing it."
2424," so listen ah, i picked monica for secret santa, but i’m already getting her something for chanukah, i was wondering if you wanna switch."," oh y’know what, i was already trying to trade for ah, well, you."
2425," really?! wow! that’s-that’s so nice, what are you gonna get me?"," i don’t know r.g., i was thinking something girlie for your office."
2426," yeah, well maybe phoebe will switch with me."," oh no-no-no, you don’t want to do that, then you’re gonna get stuck with rachel and she exchanges every gift she ever gets."
2427," oh, that’s not true! i’ve got her lots of stuff she never took back.", like?
2428," like uh, that gold necklace i got her last year.", when was the last time you saw her wear it?
2429," well, she wore it all christmas day, and then uh…", big dog?
2430," oh my god, is it really that bad?"," i walk into a room and he won’t even talk to me, he just mumbles something in italian. and i know he only knows the bad words."
2431," i thought you were chandler. but umm, one of who is over there.", hey joe.
2432, ready?, ready!
2433, my folks.," oh, uh, when-when are you coming back?"
2434," i don’t know. i might stay there for a few days while i look for an apartment.  yeah, y’know at first i thought we could talk about this y’know, work it out, but uh, seeing you two together i don’t think i…"," hey, look, what do you want me to say? do you want me to say that i’ll stop seeing her?"
2435," look, it’s not about her. okay? but seeing you two together just reminds me of what you did. and i don’t want to live with some one who doesn’t know what it is to be a friend. so, i’ll see ya. (he starts to leave, but chandler grabs his bag and stops him.)"," hey, look, i know what it is to be a friend, i just-i just screwed up!"
2436, yeah! you did! and that’s why i’m leaving.," all right look, if you’re not gonna stay for me, then at least stay for them! okay, they have had a very difficult year! what with the robbery and all!"
2437," when that guy was robbing us, and i was locked in the entertainment unit for like six hours, you know what i was doing in there all that time? i was thinking about how i let you down!  yeah! but if would’ve know what kind of friend you were gonna turn out to be, i wouldn’t have worried about it so much! see you around!"," all right, wait! come on! just wait one second! there has to be something that i can do! something! if we still had that entertainment unit i would get in it for six hours and think about how i let you down. (joey looks intrigued) what?"
2438, ewwwww!! ew! ew! ew!," (he is now in the box, in their living room.) sounds like a really bad idea to me."
2439," so now, what exactly is the point of the box?"," the meaning of the box is three fold. one (holds a finger up through the air hole), it gives me the time to think about what i did. two (holds up another finger), it proves how much i care about my friendship with joey. and three (holds up a third finger), it hurts!"
2440," (he puts his hand over the hole on the box.) (to chandler) now, we’ll see.", air hole! air hole!! (ross retracts his hand quickly.)
2441," my brother, ross.  and rachel. (chandler clears his voice loudly) and that’s chandler.", how do ya do.
2442, he’s doin’ some thinkin’!, what happened? what happened?!
2443," oh, i’ll get it. (goes over to the door.)", gotcha! (laughs)
2444, that doesn’t sound like thinking to me!, sorry!
2445, y’know i don’t think you should be talking at all in there! i think you’ve got to much thinking to do to be talking and making jokes!," okay, okay, you got it!"
2446," okay, fine. (she gets up and walks into her bedroom)"," you can’t tell, but i’m trying to break the tension by mooning you guys!"
2447," all right, look! if this is just a big joke to you, then forget about it, all right?! this means something to me! and if it doesn’t mean anything to you, then you should get out of there, otherwise you’re just an idiot in a box!"," you’re right, and i’m sorry! this means a lot to me! i want you to be my friend again! i swear, i won’t say another word tonight."
2448, so are you gonna start taking this thing seriously?, absolutely!
2449," (starting to cry) open the box!! (runs over to do so.)  he can still catch her! come on, get out of there! (he opens the box) get out of there!", so?
2450," yeah, we’re gonna be fine! get out!  yeah, you did some real good thinkin’ in there."," man, this is…"
2451," come on, no peeking! (they are leading the gang out with there hands over their eyes.)", our eyes are closed and we’re about to cross the street. very good.
2452," oh, in that case—(hops up and down in joy)—yay! (monica looks confused) that was me hopping on board."," (entering) hey, you guys! hey, ross, quick question for ya. are you ready to party?"
2453," i don’t know, i could maybe go out for a couple of beers, but there’s this thing about bumblebees on the discovery channel that i was planning to watch."," no-no, i don’t think you heard me. are you ready to party?!"
2454, nooo!! gandolf?! gandolf is coming to town?," kathy’s with her parents, i have nothing to do, so tomorrow we are partying with gandolf dude!"
2455," mike ""gandolf"" ganderson, only like the funest guy in the world.", i’m gonna call and get off work tomorrow!
2456, i’m gonna call after you!," this is gonna be soo cool, dude, we never party anymore!"
2457," kidding! god, i feel wild today!", oh man! i am so excited—i may vomit!
2458," will you calm down, he’s just a human guy."," look you don’t understand, gandolf is amazing. y’know you’re never know what’s gonna end up happening, you go out for a couple of beers and end up on a fishing boat to nova scotia!"
2459, really?!," oh yeah, it’s beautiful country up there."
2460," (entering) hey! okay! i got my passport, fresh socks, and a snake bite kit!", it’s not gonna be exactly like last time.
2461, whoa-whoa-whoa!, whoa-wh-wh-whoa-whoa-whoa-whoa!
2462, okay. (leaves as the phone rings)," (answering it) hello. (listens) (to ross) it’s gandolf!!! (on phone) so, are you in town? (listens) (disappointed) oh, well, well maybe next time then. (hangs up)  he’s not gonna make it, he’s stuck in chicago."
2463," ohh, man! chicago, is sooo lucky!"," stupid, useless canadian money!"
2464, no! i balanced my checkbook.," yeah, and i-i gave first names to all of the foosball players."
2465, so what if he didn’t come! we can still go out and party ourselves!," oh-no, y’know with gandolf we’d be out all night!"
2466, yeah! all right? let’s go!, and may-maybe we could end up on a boat again?
2467, yeah!!!, all right!!
2468," (to chandler) hey-hey-hey, when uh, when were we on a boat?"," remember that really cold morning, you woke up and those dogs were licking your face?  well, those were seals, man."
2469," all right, so we’ll get a little coffee, and get energized, and we’ll head back out."," yeah, all right."
2470, i’m kinda beat.," actually, me too."
2471," yeah, me too.","well, i could make it seem like he’s here. (imitates him.) ""here’s some little known facts about cous-cous. they didn’t add the second cous until 1979."" (mumbles something further.)"
2472," yeah, i know.","y’know what? we’re not sad, we’re not sad, we’re just not 21 anymore. y’know? i’m 29 years old, damnit! and i want to sit in a comfortable chair, and watch television and go to bed at a reasonable hour!"
2473," oh, on a date. yeah, i met this girl on the train going to a museum upstate."," oh, yeah! how did you meet her?"
2474," okay, it was just me and her at the back of the train, and i sat near the door, so she’d have to pass by me if she wanted to switch cars. she was totally at my mercy.", were you so late because you were burring this woman?
2475," no, i’m getting back down ‘cause she lives in poughkeepsie. she seems really great, but she’s like totally great, but she lives two and a half hours away."," how can she be great if she’s from poughkeepsie? (laughs, at they all look at him) that joke would’ve killed in albany."
2476," done! i did it! heh, who’s stupid now? (he smiles and has cookie remains all over his teeth.)"," hey, look at this! (holding a newspaper) they’re lighting the big christmas tree tonight."
2477," umm, that paper’s two weeks old."," all right, who keeps leaving old newspapers in the trash?! i really wanted to take kathy to this, i can’t believe i missed it."
2478," hey, y’know, at least you have somebody to miss that stuff with! i hate being alone this time of year! next thing you know it’ll be valentine’s day, then my birthday, then bang!—before you know it, they’re lighting that damn tree again. ohh, i want somebody! (hearing this, gunther moves in) y’know, i want a man!! (gunther leaves depressed) i mean, it doesn’t even have to be a big relationship, y’know, just like a fling would be great.", really?! i didn’t think girls ever just wanted a fling.
2479," well, i know what i’m giving you for christmas."," y’know what? there’s some nice guys at my office, do you want me to set you up?"
2480," yeah! wait a minute, it’s been a long time that i’ve been single. how come you never offered this before?"," well, i have a girlfriend, i’m-i’m happy. so, i no longer feel the need to go out of my way to stop others from being happy."
2481," okay! no accountants. oh, and no one from like legal. i don’t like guys with boring jobs.", oh and ross was like what? a lion tamer?
2482," i would love too, but i can’t! i mean i just can’t, you know that i’m not good at confrontation."," hey, you know what you can do? i remember reading about this director, i think it was orson wells, who at the beginning of the movie would hire somebody, just so he could fire them in front of everybody. then they would all know, who’s boss."
2483, hey! that must be why i got fired last week! does this orson wells guy direct burger king commercials?," (he glares at him for a while) yes.  i say, drew! are you seeing anybody right now? (drew looks at him) og-ee-op, i’m not asking for me, i’m… i mean… no, i’m-i’m not gay, i’m not asking you out. i’m not-i’m not-i’m not gay!"
2484, i didn’t think you were gay. i do now.," see my friend-my friend, rachel, she wants to be set up."
2485," ahh, i just got out of a big relationship, i’m not looking for any thing serious."," oh, y’know what, that might be okay even if it was just kind of a fling, that might be all right with rachel."
2486," whoa-whoa-whoa-whoa! is this, hot rachel, that you took to the christmas party, rachel?"," (to drew) oh, by the way, that is her full name."
2487," hold on, y’know i just got a box of cubans, maybe i bring them by your office around uh, five?"," oh well, that’s uh, a little later than i uh, generally care to stay, but sure!"
2488," maybe, before the game we could enjoy some eight year old some small batch basel hadens."," well, i don’t really know what that is, but let’s!!"
2489," pumpkin? yeah. but did he ever call you like, budolph?"," (entering) hello, children! (to rachel) have i got the 50 guys for you!  oh yeah, i just showed this a picture of you and guys were throwing themselves at me! they’re buying me drinks! they’re giving me stuff! (to joey) knicks tonight?"
2490, sure! where are the seats?,wherever! i’ve got like 20!
2491," so, will i like any of these guys?"," y’know what, i’m gonna uh, play the field just a little more."
2492, chandler!, mom. thanks for wearing something. (they hug.) (she’s wearing a tight dress with a lot of cleavage showing.)
2493, (shocked) you work with robots!!," (pause) yes. (to rachel) okay, there’s this one guy, patrick, i think you’re gonna like him, he’s really nice, he’s funny, he’s a swimmer."
2494," ohh, i like swimmer’s bodies!"," yes, and his father invented that magnetic strip on the back of credit cards."
2495," op, i like credit cards!"," see, i’m not bad at this fixing up thing, huh?"
2496," well, so what does he do?"," oh, he works in the fine foods division."
2497, your company has a fine foods division?," it’s a big company, i don’t—if you—i…"
2498," oh, wow! i should get going. i-i got a date tonight.", oh yeah! with who?
2499," well, i-i want to give her another chance, y’know? she lives so close. and, at the end of the date, the other time, she-she said something that was—if she was kidding was very funny. on the other hand, if she wasn’t kidding, she’s not fun, she’s stupid, and kind of a racist."," hey, man!"
2500, (entering) chandler!! you have the best taste in men!," well, like father, like son."
2501, patrick and i had such a great time last night! i mean i think this could maybe turn into something serious., really?! i-i thought you weren’t looking for something serious? i thought you were looking for some kind of a fling.
2502," well, y'know, possibly. (pause) you didn’t tell him that, though? right?"," ummmmmmmm, no."
2503, you told this guy that i was looking for a fling?! you don’t tell the guy that!, why not?! i’d be thrilled if i heard that some hot girl was just looking to get—oh i see.
2504," (singing) happy, happy chanukah, chandler and monica. very merry…"," (interrupting) oh, y’know, y’know what pheebs?  i’m not jewish, so…"
2505," so! ross doesn’t really decorate his tree with floss, but you don’t hear him complaining do you? god! (phoebe hits her guitar which wakes up ross with a start.)", bad dream?
2506, i wasn’t sleeping.," oh yeah, then uh, what was phoebe’s song about?"
2507," umm, well i had a similar problem when i lived in prague.", prague?
2508," chandler! patrick just uh, ended things with me. did you or did you not tell him that i was looking for a serious relationship?", i did! i absolutely did!
2509, you idiot!!," i’m sure you’re right, but why?"
2510, you don’t tell a guy that you’re looking for a serious relationship! you don’t tell the guy that! now you scared him away!," oh, man. i’m sorry, i’m so-so sorry."
2511," y’know, you should never be allowed to talk to people!", i know! i know!
2512," oh! see just i’m right back where i started! aww, this sucks! being alone, sucks! (she sits down heavily in one of the new chairs)"," well, y’know, you’re-you’re gonna meet somebody! you’re a great catch! y’know when i was telling all those guys about you, i didn’t have to lie once. (he sits down on the arm of her chair)  yeah! you graduated magma ku laude, right?  oh, it doesn’t matter. (kisses her on the top of her head.) hey, y’know what, i’ve got two tickets to tonight’s rangers game, you wanna come with me?"
2513, cute guys in little shorts? sure.," well, actually it’s a hockey team, so it’s angry canadians with no teeth."
2514, well that sounds fun too. (they hug.), have you ever been with a woman?
2515," what?! chandler, what is the matter with you?!", so there is no good time to ask that question.
2516," (entering with ross) hey! you guys! check it out, check it out! (he’s wearing a blue blazer) guess which job i got."," i don’t know, but donald trump wants his blue blazer black.  blue blazer back. he-he wants it back."
2517, but you-you said black. why would he want his blue blazer black?," well, you-you know what i meant."
2518," no, you messed it up. you’re stupid.", so what job did you get joe?
2519," well, they said that i had to think about it first, but what is there to think about? i’m gonna be giving them the greatest gift you can possibly give.", you’re gonna be carrying their baby and give them a sony play station?
2520," umm, (moves her hand’s down to his butt) i love this touchy. can i take it to work with me?"," oh, yeah, sure, it’s not mine anyway. it can with the pants."
2521, you guys are really right…there aren’t you?, yes. right where?
2522, in the beginning where y’know it’s all sex and talking and sex and talking and…," yeah, you-you gotta love the talking."
2523, and the sex?," all right, we haven’t had sex yet. okay, what’s the big deal? y’know? this is special, and i want our love to grow until we move on to the next level."
2524, why? just because you’re not mature enough to understand something like that?!," no, he’s right, i’m totally lying."
2525, then what is it?," well, kathy’s last boyfriend was joey."
2526, and you’re afraid you won’t be able to…fill his shoes.," no, i’m afraid i won’t be able to make love as well as him."
2527," yeah, i was going for the metaphor."," yes, and i was saying the actual words."
2528," so big deal, so joey’s had a lot of girlfriends, it doesn’t mean he’s great in bed."," we share a wall! so either he’s great in bed, or she just likes to agree with him a lot."
2529, go on.," all right, all right, i’ll go sleep with my girlfriend. but i’m just doing it for you guys."
2530," yeah, when we’re in the audience he doesn’t talk to us, but he does wave.", why is phoebe singing to carl mulden?
2531," (to chandler) so, did you do it?"," yes, yes, we had the sex."
2532," uh-oh, it was bad?"," it was fine, y’know? but she didn’t agree with me as strongly as she agreed with joey. she was more like, ""i see you point, i’m all right with it."""
2533," yeah, not girls anyway, guys agree (snaps her fingers) like that."," look, you have to help me! okay? i mean, i know what to do with a woman, y’know, i know where everything goes, it’s always nice. but i need to know what makes it go from nice to, ""my god! somebody’s killing her in there!"""
2534," all right, i’m gonna show you something a lot of guys don’t know. rach, give me that pad, please? (she does so and monica starts drawing on it) all right. now…"," look, you don’t have to draw an actual wo—whoa! she’s hot!"
2535," now everybody knows the basic erogenous zones. (she starts labelling them) you got one, two three, four (chandler is shocked to find out there’s more than three), five, six, and seven!", (shocked) there are seven?!
2536," let me see that. (monica shows her) oh, yeah.", (points to one) that’s one?
2537, it’s kind of an important one!," oh, y’know-y’know what, i was looking at it upside down."
2538,"(continuing) now, most guys will hit uh, 1-2-3 and then go to 7 and set up camp.", that-that’s bad?
2539," well if you go to disneyland, you don’t spend the whole day on the materhorn.",well you might if it were anything like 7!
2540," (angrily) back off!!! (she starts banging on their door.) get up! get up! get up! god damn it! get up, get up, get up, get up, get up!!  what is that noise?", you!
2541, what kind of changes?, well the vet seems to think that’s she’s becoming a rooster. (the rooster crows.) we’re getting a second opinion.
2542," oh, they’re just gonna umm, look to see if my endometria layer is thick."," oh, i can uh, check that for ya."
2543, she’s mad because i know today’s her laundry day and that means she’s wearing her old lady underpants., i can check that for ya.
2544, i just—i can’t believe that you think that you and chandler know me and rachel better than we know you., well… we-we do. you can only eat tic tacks in even numbers.
2545," yeah, what’s that about?"," (to rachel) and you… ross, i believe, if you check rachel’s bag you will find a half-eaten box of cookies in there."
2546, five.," okay, ten bucks says that we can name every item in that bag."
2547, we’ll be starting with apples., (to ross) stop that now!
2548," okay. uhh, tortilla chips, yogurt.", diet soda.
2549, yes. yes. yes. (they’re perfect so far.), orange juice.
2550," okay, the last thing…"," oh-oh, oh, oh-oh! (whispers something in joey’s ear.)"
2551," no-no, not for like another two weeks.", i got it! scotch… tape. (they’re right.)
2552, how did you know she would buy scotch tape?," well, we used there’s up last night making scary faces."
2553," aww, man!", all right! ten buck! fork it over! cough it up! pay the piper! gimme it.
2554," it’s heads. (the guys celebrate.) gentlemen, pick your category.", fears and pet peeves.
2555, (to chandler) the irish gig guy?!, his legs flail about as if independent of his body!
2556, (to chandler) nana?, she has a real name.
2557, (answering the question) althea!, althea?! what are you doing?!
2558, i took a shot., you're shooting with althea?!
2559, althea is correct., nice shooting!
2560, i knew that! rachel! use you’re head!," actually, it’s miss chinandolor bong."
2561, viva las gaygas!, unfortunately that is correct.
2562," you guys are dead, i am so good at lighting rounds."," i majored in lightning rounds. all right, we’re gonna destroy you."
2563," huh, wanna bet?"," well, i’m so confused as to what we’ve been doing so far…"
2564,150 dollars.,say 200?
2565," look, we are not gonna…"," (interrupting) all right, hold on! if you win, we give up the birds."
2566, (shocked) dah!! (chandler motions for him to calm down.)," but if we win, we get your apartment."
2567," all right, gentlemen, you’re up first.", okay. (starts jumping around.)
2568, correct. rachel claims this is her favorite movie…, dangerous liaisons.
2569,correct. in what part of her body did monica get a pencil stuck at age 14?, oh! (whispers something in joey’s ear and then in ross’s ear.)
2570, everyday use., fancy.
2571, guest., fancy guest.
2572,"no, 19.", thanks man.
2573, i call monica’s room!, you can’t just call monica’s room.
2574," man, i feel like i’m coming down with something.  yeah. (to chandler) i bet you can’t guess what color my tonsils are? i’ll bet the apartment!"," oh, i would never bet this apartment. it’s too nice."
2575," well, freaked. ‘cause it turns out that the odds are really sucky. and! this is frank and alice’s like only shot. like, they are literally putting all of their eggs in my basket."," yeah, but i bet it works."
2576," (entering from chandler’s bedroom, i guess, and sees the foosball table.) oh my god! i can’t believe you guys are actually think you’re moving in here!", well believe it baby!
2577," all right, look, i hate this as much as you, but if it makes you feel better, it’s all your fault.  chinadolor bong, come on, we steal that tv guide every week!", i knew it!
2578," i don’t care, i’m not going anywhere."," cool, girl roommate."
2579, don’t blame the questions!, would you all stop yelling in our apartment! you are ruining moving day for us!
2580, i can’t believe we’re living here!, what?! what-what is it?!
2581, did you see the size of the closets?!, i can’t believe we live here!
2582, awwwww!! (they lean back all the way.) awwwwwww!!!," okay, she is the star of the play. and she is my girlfriend! i get to have sex with the star of the play!"
2583, people can hear you., i know!!  wow! she looks great. doesn’t she?
2584, that is one good looking man!," is it just me, or can you actually see his abs through his overcoat?!"
2585," well, kathy gets half-naked and simulates sex with a real good lookin’ guy.","yeah, it’s like someone literally wrote down my worst nightmare and then charged me $32 to see it!"
2586, that’s a good idea for a business!," i’m totally screwed. okay, they are gonna be hot and heavy on stage every night, and then they’re gonna go to their cast parties and he’s gonna try to undermine me. y'know it’ll be like, ""so where’s your boyfriend, what’s-his-name, chester?"" and she’ll go, ""no-no-no, it’s chandler."" and he’ll go, ""whatever. ha-ha-ha-ha!"""
2587, (to ross) that-that is a good trick.," all right, look, look, what am i gonna do?"
2588," well okay, so then you’re fine. the rule is when two actors are actually doing it off-stage all the sexual tension between them is gone. okay? so as long as it’s hot onstage you got nothing to worry about. it’s when the heat goes away, that’s when you’re in trouble.  look, you guys have been to every play i’ve ever been in, have i ever had chemistry on stage?  noooo!!"," so uh, man, are you gonna go to the play with me tonight?"
2589," y’know what, i don’t know how comfortable i am going to see how hot the sex is between some guy and your girlfriend."," yeah, i know but…"
2590," no-no, stay right there. (monica stops and joey flips her a pancake, which flies over her head and lands in the living room.) gettin’ closer."," okay, okay, but don’t worry, because we also have cereals, muffins, waffles, and, jams, jellies, and marmalades. which i’m fairly certain are the same thing."
2591, it’s this way? sorry. (he walks past her and she again admires his butt.)," i’m right! right? there was like no chemistry between them. before they had heat, and now there’s no heat! now you know what this means, joey told us what this means!"
2592," all right, let’s not jump to any conclusions. all right? there was some sexual chemistry between them."," come on, it was like cousins having sex up there!"
2593," wasn’t nick funny when he couldn’t get his match lit?  it’s a good play, isn’t it?"," oh, i loved the play. you were great, and nick ditto. clearly you’re having sex with him."
2594," clearly, i’m having sex with him?"," oh come on, it was so obvious! there was no chemistry between you two!"
2595," okay, so let me just get this straight. you’re accusing me of cheating on you, and insulting my performance?"," y’know, i-i could see how this could happen, y'know you’re up there every night, you’re naked, touching, kissing."
2596," acting! chandler, this is my job! i’m-i’m playing a part in a play! how can you not trust me?!"," well, you can understand, given how we started."
2597," oh, wow. i can’t believe you’re throwing that in my face."," well, that is what happened, and i don’t even see you denying this!"
2598," i’ll tell you what, chandler, why don’t you call me when you grow up!"," yeah, well, don’t expect that to happen anytime soon!"
2599," oh, are we gonna trash that place?", steps! (he opens the door to his apartment to ross and joey looking at the new playboy) slut! (ross and joey quickly hide the playboy behind their backs. chandler wonders into the girl’s apartment.) you will all be very happy to hear that kathy is sleeping with that guy!
2600, so you were right?," i confronted her, and she didn’t deny it! (pause) i don’t live here! (goes back into his apartment and they all follow him.)"
2601, come here.," well, i may be drunk, but i know what she said! then i went over to beefsteak julie’s…"
2602, beefsteak charlie’s?, yes! see you and i have always been like—(motions that they think the same.)
2603," absolutely! and if it doesn’t, can i get the extra ticket?  what the heck is that?", did she call?
2604," no, sorry."," all right, maybe i should call her."
2605," he’s right, what she did was unforgivable."," well, yeah, but y'know, what-what if i was wrong?"
2606, how might you be wrong?," well y'know, what if she didn’t actually sleep with the guy?"
2607," dude, tell me she actually told you this."," she did not have to tell me, i saw the play, and there was no heat. back me up here, ross!"
2608, that’s all you’re basing this on?," that’s not backing me up! look, you said with the off-stage and the heat, and the onstage and the oy heat."
2609," whoa-whoa, that-that was just a theory! there’s a lot of theories that didn’t pan out. the lone gunman. communism. geometry.", oh my god!!
2610, (opening the door) hey.," hey. i just, i just wanted to come over to-to say that i’m sorry. y’know? i know i acted like the biggest idiot in the world, and i can completely understand why you were so upset."
2611, oh wow. i really wish you’d call me.," yeah, i know, i-i wish i had too, but y’know i-i think this is a good thing. y'know? ‘cause we’ve had our first fight, and now we can move on. y’know, i know for me—(notices a pair of men’s pants on the chair.) nick’s pants?"
2612, how’d it go?," well, she wasn’t sleeping with him."
2613, oh good!, she is now.
2614, what are you saying?," i’m saying that she… is a devil woman! y’know i mean you think you know someone and then they turn around and they sleep with nick! nick, with his rock hard pecs, and his giant man-nipples! i hate him, i hate her! well, i don’t hate her, i love her. this is all my fault really."
2615, how? how is your fault?," because, i-i should’ve called! y’know if i had just called her after our big, stupid fight, she never would’ve gone out with nick, and they would’ve ended up in bed together. i threw her at his man nipples!"
2616, great!, oh that’s great!
2617, there are naked ladies there too., (opening the bathroom door and kicking out the chick and duck) would you give me one minute!! please.
2618, oh yay!," y’know, i can’t believe kathy did this too me. i really, thought that she was the one. i tell you what, from now on i’m never getting out of this chair, ever! okay? from now on, this chair is the one! you wanna what else is the one? my sweat pants!"
2619, hey! you’re wearing pants!, that’s right! where are the guys? i’m ready to get drunk and see some strippers.
2620,it’s 9:30 in the morning!, they got a breakfast buffet.
2621," hello. (listens) oh, hey ross!"," ooh, let me talk to him!"
2622," oh-oh, my god!"," well, can i just…"
2623," (to chandler) shh!! (on phone) wait, what?", she’s shhing me! it’s my phone and she’s shhing me!
2624, what? who the hell is emily—(realises) noooo!!  they’re in vermont!! how could this happen?! (she waves her arms franticly and hits chandler.), ow!
2625, how—how did end up in vermont with that awful witch?! (she hits chandler again.)," maybe, she doesn’t hit him all the time."
2626," i don’t get this! she was horrible! (she hits chandler, yet again.)"," okay, i’m going to go stand over there. (points and moves into the living room.)"
2627," oh, y’know, would you just for once, not remember every…little…thing!! (storms out.)"," so y’know, uh, when’s he getting back?"
2628, a couple of days.," y’know, i knew something like this was going to happen. (he starts to take off his pants, revealing that he is still wearing his sweat pants.)"
2629, what are you doing?! chandler! you can’t just go back a phase!," yes you can. you’re thinking about time, you can’t go back in time."
2630," yeah, come on, we can be guys!", (laughs) no you can’t.
2631, come on! let us be guys! maybe we want to be guys!," you don’t want to be guys, you’d be all hairy and wouldn’t live as long. (starts to go to his bedroom)"
